%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.position0,field.position1,field.position2,field.position3,field.position4,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4
373513000000,18649,373513000000,,end,joint2,joint4,joint6,motortom2m,7.07803415141e-05,-8.00476706138e-05,-5.29888808263e-05,1.974292472e-05,-5.43105913335e-05,1.2163727224e-12,-7.18485162602e-13,-2.57381406278e-13,1.87562365839e-13,-9.6359522823e-13,0.0,0.0,0.0,0.0,0.0
373533000000,18650,373533000000,,end,joint2,joint4,joint6,motortom2m,7.07803415141e-05,-8.00476706138e-05,-5.29888808263e-05,1.974292472e-05,-5.43105913335e-05,1.21637272321e-12,-7.18485161162e-13,-2.5738140491e-13,1.87562367027e-13,-9.63595226862e-13,0.0,0.0,0.0,0.0,0.0
373549000000,2289,373548000000,,motortom2m,joint2,joint4,joint6,end,-5.43105913335e-05,-8.00476706138e-05,-5.29888808263e-05,1.974292472e-05,7.07803415141e-05,-9.63595226862e-13,-7.18485161162e-13,-2.5738140491e-13,1.87562367027e-13,1.21637272321e-12,0.0,0.0,0.0,0.0,0.0
373553000000,18651,373553000000,,end,joint2,joint4,joint6,motortom2m,7.07803415141e-05,-8.00476706138e-05,-5.29888808263e-05,1.974292472e-05,-5.43105913335e-05,1.21637272278e-12,-7.18485161957e-13,-2.57381405661e-13,1.87562366378e-13,-9.63595227619e-13,0.0,0.0,0.0,0.0,0.0
373573000000,18652,373573000000,,end,joint2,joint4,joint6,motortom2m,7.07803415141e-05,-8.00476706138e-05,-5.29888808263e-05,1.974292472e-05,-5.43105913335e-05,1.21637272224e-12,-7.18485162884e-13,-2.57381406546e-13,1.87562365604e-13,-9.63595228497e-13,0.0,0.0,0.0,0.0,0.0
373593000000,18653,373593000000,,end,joint2,joint4,joint6,motortom2m,7.07803415141e-05,-8.00476706138e-05,-5.29888808281e-05,1.97429247191e-05,-5.43105913335e-05,1.21637272323e-12,-7.18485161184e-13,-2.57381404923e-13,1.87562367024e-13,-9.63595226887e-13,0.0,0.0,0.0,0.0,0.0
373613000000,18654,373613000000,,end,joint2,joint4,joint6,motortom2m,7.07803415141e-05,-8.00476706129e-05,-5.29888808263e-05,1.974292472e-05,-5.43105913335e-05,1.21637272243e-12,-7.18485162562e-13,-2.57381406239e-13,1.87562365873e-13,-9.63595228192e-13,0.0,0.0,0.0,0.0,0.0
373633000000,18655,373633000000,,end,joint2,joint4,joint6,motortom2m,7.07803415141e-05,-8.00476706129e-05,-5.29888808263e-05,1.97429247191e-05,-5.43105913335e-05,1.21637272154e-12,-7.18485164092e-13,-2.573814077e-13,1.87562364595e-13,-9.6359522964e-13,0.0,0.0,0.0,0.0,0.0
373648000000,2290,373647000000,,motortom2m,joint2,joint4,joint6,end,-5.43105913335e-05,-8.00476706129e-05,-5.29888808263e-05,1.97429247191e-05,7.07803415141e-05,-9.6359522964e-13,-7.18485164092e-13,-2.573814077e-13,1.87562364595e-13,1.21637272154e-12,0.0,0.0,0.0,0.0,0.0
373653000000,18656,373653000000,,end,joint2,joint4,joint6,motortom2m,7.07803415141e-05,-8.00476706129e-05,-5.29888808263e-05,1.974292472e-05,-5.43105913335e-05,1.21637272313e-12,-7.18485161358e-13,-2.57381405089e-13,1.87562366878e-13,-9.63595227051e-13,0.0,0.0,0.0,0.0,0.0
373673000000,18657,373673000000,,end,joint2,joint4,joint6,motortom2m,7.07803415141e-05,-8.00476706138e-05,-5.29888808263e-05,1.97429247191e-05,-5.43105913335e-05,1.21637272128e-12,-7.18485164486e-13,-2.57381408084e-13,1.87562364251e-13,-9.63595230009e-13,0.0,0.0,0.0,0.0,0.0
373693000000,18658,373693000000,,end,joint2,joint4,joint6,motortom2m,7.07803415141e-05,-8.00476706138e-05,-5.29888808263e-05,1.974292472e-05,-5.43105913335e-05,1.21637272108e-12,-7.18485164891e-13,-2.57381408463e-13,1.87562363929e-13,-9.63595230397e-13,0.0,0.0,0.0,0.0,0.0
373713000000,18659,373713000000,,end,joint2,joint4,joint6,motortom2m,7.07803415141e-05,-8.00476706138e-05,-5.29888808263e-05,1.97429247191e-05,-5.43105913335e-05,1.21637272426e-12,-7.18485159416e-13,-2.57381403236e-13,1.87562368499e-13,-9.63595225213e-13,0.0,0.0,0.0,0.0,0.0
373733000000,18660,373733000000,,end,joint2,joint4,joint6,motortom2m,7.07803415141e-05,-8.00476706138e-05,-5.29888808281e-05,1.974292472e-05,-5.43105913318e-05,1.21637272314e-12,-7.18485161333e-13,-2.57381405066e-13,1.87562366899e-13,-9.63595227028e-13,0.0,0.0,0.0,0.0,0.0
373749000000,2291,373747000000,,motortom2m,joint2,joint4,joint6,end,-5.43105913318e-05,-8.00476706138e-05,-5.29888808281e-05,1.974292472e-05,7.07803415141e-05,-9.63595227028e-13,-7.18485161333e-13,-2.57381405066e-13,1.87562366899e-13,1.21637272314e-12,0.0,0.0,0.0,0.0,0.0
373753000000,18661,373753000000,,end,joint2,joint4,joint6,motortom2m,7.07803415141e-05,-8.00476706138e-05,-5.29888808263e-05,1.974292472e-05,-5.43105913335e-05,1.2163727218e-12,-7.18485163588e-13,-2.57381407227e-13,1.87562365001e-13,-9.63595229159e-13,0.0,0.0,0.0,0.0,0.0
373776000000,18662,373773000000,,end,joint2,joint4,joint6,motortom2m,7.07803415141e-05,-8.00476706138e-05,-5.29888808263e-05,1.974292472e-05,-5.43105913318e-05,1.21637272289e-12,-7.18485161758e-13,-2.57381405472e-13,1.87562366543e-13,-9.63595227431e-13,0.0,0.0,0.0,0.0,0.0
